127.0.0.1 - - [07/Sep/2023:09:35:59 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Sep/2023:09:35:59 +0900] "GET /Student/start.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:09:35:59 +0900] "GET /Student/Shopping?command=home HTTP/1.1" 200 4768
0:0:0:0:0:0:0:1 - - [07/Sep/2023:09:35:59 +0900] "GET /Student/js/sweetalert.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:09:35:59 +0900] "GET /Student/image/chicago.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:09:35:59 +0900] "GET /Student/image/la.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:09:35:59 +0900] "GET /Student/image/ny.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:09:35:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Sep/2023:09:36:02 +0900] "GET /Student/Shopping?command=meLogin HTTP/1.1" 200 4705
0:0:0:0:0:0:0:1 - - [07/Sep/2023:09:36:02 +0900] "GET /Student/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:09:36:03 +0900] "POST /Student/Shopping HTTP/1.1" 200 5255
0:0:0:0:0:0:0:1 - - [07/Sep/2023:09:36:09 +0900] "GET /Student/Shopping?command=boList HTTP/1.1" 200 10047
0:0:0:0:0:0:0:1 - - [07/Sep/2023:09:38:11 +0900] "GET /Student/Shopping?command=boList HTTP/1.1" 200 10062
0:0:0:0:0:0:0:1 - - [07/Sep/2023:09:38:12 +0900] "GET /Student/Shopping?command=boList HTTP/1.1" 200 10062
0:0:0:0:0:0:0:1 - - [07/Sep/2023:09:38:13 +0900] "GET /Student/Shopping?command=boList HTTP/1.1" 200 10062
0:0:0:0:0:0:0:1 - - [07/Sep/2023:09:39:41 +0900] "GET /Student/Shopping?command=boList HTTP/1.1" 200 10104
0:0:0:0:0:0:0:1 - - [07/Sep/2023:09:43:13 +0900] "GET /Student/Shopping?command=boList HTTP/1.1" 200 12247
0:0:0:0:0:0:0:1 - - [07/Sep/2023:09:43:56 +0900] "GET /Student/Shopping?command=boList HTTP/1.1" 200 11612
0:0:0:0:0:0:0:1 - - [07/Sep/2023:09:48:40 +0900] "GET /Student/Shopping?command=boList HTTP/1.1" 200 11719
0:0:0:0:0:0:0:1 - - [07/Sep/2023:09:49:14 +0900] "GET /Student/Shopping?command=boList HTTP/1.1" 200 11716
0:0:0:0:0:0:0:1 - - [07/Sep/2023:09:49:28 +0900] "GET /Student/Shopping?command=boList HTTP/1.1" 200 11725
0:0:0:0:0:0:0:1 - - [07/Sep/2023:09:57:47 +0900] "GET /Student/Shopping?command=boList HTTP/1.1" 200 11698
0:0:0:0:0:0:0:1 - - [07/Sep/2023:09:59:55 +0900] "GET /Student/Shopping?command=boList HTTP/1.1" 200 11754
0:0:0:0:0:0:0:1 - - [07/Sep/2023:10:19:11 +0900] "GET /Student/Shopping?command=boList HTTP/1.1" 200 11267
0:0:0:0:0:0:0:1 - - [07/Sep/2023:10:32:14 +0900] "GET /Student/Shopping?command=boList HTTP/1.1" 200 11267
0:0:0:0:0:0:0:1 - - [07/Sep/2023:10:38:13 +0900] "GET /Student/Shopping?command=boList HTTP/1.1" 200 11267
